id,Code,Transport,Longitude,Latitude,Station,District_Name,Neighborhood_Name
476,K001,Underground,2.200227,41.450043,METRO (L1) - BARÓ DE VIVER-,Sant Andreu,la Trinitat Vella
477,K001,Underground,2.103422,41.357794,FGC (L8) - L'HOSPITALET:AV. CARRILET-,,
478,K001,Underground,2.144554,41.430627,METRO (L3) - MONTBAU (Jardins de Pedro Muñoz Seca)-,Horta-Guinardó,Montbau
479,K001,Underground,2.140751,41.417963,METRO (L3) - PENITENTS-,Gràcia,Vallcarca i els Penitents
480,K002,Railway (FGC),2.139358,41.368228,FGC - MAGÒRIA-LA CAMPANA-,Sants-Montjuïc,la Bordeta
481,K002,Railway (FGC),2.142961,41.40344,FGC - PADUA-,Sarrià-Sant Gervasi,el Putxet i el Farró
482,K011,Tram,2.13165,41.415969,TRAMVIA BLAU - PL. DR. ANDREU-,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova
483,K001,Underground,2.187294,41.416721,METRO (L1) - NAVAS (Av. Meridiana)-,Sant Andreu,Navas
484,K001,Underground,2.154456,41.379149,METRO (L1) - ROCAFORT-,Eixample,la Nova Esquerra de l'Eixample
485,K002,Railway (FGC),2.148628,41.374547,FGC - ESPANYA-,Sants-Montjuïc,el Poble-sec
486,K008,Maritime station,2.183239,41.375761,Terminal Marítima Maremàgnum *Creuers,Ciutat Vella,el Barri Gòtic
487,K011,Tram,2.209361,41.41994,"TRAMVIA (T5, T6) - BESÒS-",Sant Martí,el Besòs i el Maresme
488,K011,Tram,2.198381,41.406205,TRAMVIA (T4) - PERE IV-,Sant Martí,Provençals del Poblenou
489,K003,RENFE,2.179942,41.470873,RENFE - MONTCADA BIFURCACIÓ-,,
490,K002,Railway (FGC),2.139529,41.405442,FGC - EL PUTXET-,Sarrià-Sant Gervasi,el Putxet i el Farró
491,K001,Underground,2.167775,41.389664,METRO (L4) - PASSEIG DE GRÀCIA (Pg. de Gràcia)-,Eixample,la Dreta de l'Eixample
492,K001,Underground,2.17985,41.459409,METRO (L11) - TORRE BARÓ - VALLBONA-,Nou Barris,Torre Baró
493,K001,Underground,2.170687,41.387914,METRO (L1) - CATALUNYA (Rda. de Sant Pere)-,Eixample,la Dreta de l'Eixample
494,K001,Underground,2.164719,41.385814,METRO (L1) - UNIVERSITAT (C. de Pelai)-,Ciutat Vella,el Raval
495,K001,Underground,2.186554,41.4101,METRO (L2) - CLOT-,Sant Martí,el Camp de l'Arpa del Clot
496,K001,Underground,2.139739,41.379602,METRO (L5) - SANTS ESTACIÓ (Pg. de Sant Antoni)-,Sants-Montjuïc,Sants
497,K001,Underground,2.167646,41.386095,"FGC (L6,L7) - CATALUNYA (C. de Bergara)-",Eixample,la Dreta de l'Eixample
498,K001,Underground,2.192791,41.395438,METRO (L4) - BOGATELL (C. de Pujades)-,Sant Martí,el Parc i la Llacuna del Poblenou
499,K001,Underground,2.17214,41.46292,METRO (L11) - CAN CUIÀS (C. Tapissers - Montcada)-,,
500,K001,Underground,2.182218,41.393228,METRO (L1) - ARC DE TRIOMF (C. de Nàpols)-,Eixample,el Fort Pienc
501,K001,Underground,2.138493,41.375542,METRO (L1) - PLAÇA DE SANTS-,Sants-Montjuïc,Sants
502,K001,Underground,2.191104,41.437806,METRO (L1) - SANT ANDREU (C. de Joan Torres)-,Sant Andreu,Sant Andreu
503,K001,Underground,2.110875,41.368376,METRO (L1) - FLORIDA-,,
